Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 561417  Y 474803
X 567716  Y 474803
X 564566  Y 474803
X 558267  Y 474803
X 577165  Y 474803
X 555118  Y 474803
X 574015  Y 474803
X 555118  Y 477952
X 558267  Y 477952
X 561417  Y 477952
X 574015  Y 477952
X 567716  Y 477952
X 564566  Y 477952
X 577165  Y 477952
X 558267  Y 481102
X 564566  Y 481102
X 567716  Y 481102
X 555118  Y 481102
X 574015  Y 481102
X 561417  Y 481102
X 577165  Y 481102
X 555118  Y 487401
X 561417  Y 487401
X 564566  Y 487401
X 567716  Y 487401
X 558267  Y 487401
X 574015  Y 487401
X 577165  Y 487401
X 555118  Y 490551
X 564566  Y 490551
X 567716  Y 490551
X 574015  Y 490551
X 558267  Y 490551
X 577165  Y 490551
X 561417  Y 490551
X 555118  Y 493700
X 561417  Y 493700
X 558267  Y 493700
X 577165  Y 493700
X 567716  Y 493700
X 574015  Y 493700
X 564566  Y 493700
X 567716  Y 496850
X 577165  Y 496850
X 555118  Y 496850
X 574015  Y 496850
X 564566  Y 496850
X 561417  Y 496850
X 558267  Y 496850
X 555118  Y 500000
X 558267  Y 500000
X 564566  Y 500000
X 567716  Y 500000
X 574015  Y 500000
X 561417  Y 500000
X 577165  Y 500000
X 561417  Y 503149
X 555118  Y 503149
X 567716  Y 503149
X 558267  Y 503149
X 564566  Y 503149
X 577165  Y 503149
X 574015  Y 503149
X 583464  Y 503149
X 586614  Y 503149
X 580314  Y 503149
X 589763  Y 500000
X 586614  Y 500000
X 580314  Y 500000
X 583464  Y 500000
X 583464  Y 496850
X 580314  Y 496850
X 586614  Y 496850
X 589763  Y 496850
X 580314  Y 493700
X 589763  Y 493700
X 586614  Y 493700
X 583464  Y 493700
X 583464  Y 490551
X 589763  Y 490551
X 580314  Y 490551
X 586614  Y 490551
X 589763  Y 487401
X 586614  Y 487401
X 580314  Y 487401
X 583464  Y 487401
X 583464  Y 481102
X 586614  Y 481102
X 580314  Y 481102
X 583464  Y 477952
X 586614  Y 477952
X 580314  Y 477952
X 580314  Y 474803
X 583464  Y 474803
X 586614  Y 474803
X 583464  Y 471653
X 586614  Y 471653
X 580314  Y 471653
X 583464  Y 468503
X 586614  Y 468503
X 589763  Y 468503
X 580314  Y 468503
X 586220  Y 425984
X 596456  Y 425984
X 583464  Y 353543
X 580314  Y 353543
X 586614  Y 353543
X 580314  Y 350393
X 586614  Y 350393
X 583464  Y 350393
X 589763  Y 350393
