Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 823237  Y -199990
X 848237  Y -199990
X 798237  Y -199990
X 873237  Y -199990
X 898237  Y -199990
X 867716  Y -15748
X 883464  Y 452
X 878937  Y 10236
X 867125  Y 10236
X 873031  Y 10236
X 873031  Y 20472
X 884251  Y 27559
X 889763  Y 37795
X 878740  Y 37795
X 876377  Y 125984
X 876377  Y 136220
X 880511  Y 159842
X 860629  Y 180314
X 860629  Y 190551
X 867625  Y 202174
X 892625  Y 202174
X 917625  Y 202174
X 942625  Y 202174
X 967625  Y 202174
X 951181  Y 174803
X 962204  Y 174803
X 906944  Y -94862
X 906944  Y -145559
X 973237  Y -199990
X 923237  Y -199990
X 948237  Y -199990
X 998237  Y -199990
X 1023237  Y -199990
X 1055905  Y -180827
X 1034645  Y -162992
X 982677  Y 162204
X 1019525  Y 202121
X 1044525  Y 202121
X 997419  Y 202174
X 1069525  Y 202121
X 1094525  Y 202121
X 1119525  Y 202121
X 1121259  Y 159055
X 1113740  Y 94488
X 1122047  Y 22047
X 1121259  Y -115748
X 1107874  Y -183070
X 1083751  Y -186103
X 1082677  Y -192913
X 1109448  Y -196850
X 1127785  Y -199990
X 1166141  Y -202362
X 1158893  Y -185631
X 1203049  Y -181077
X 1139370  Y -160629
X 1145669  Y -160629
X 1174803  Y -160629
X 1185826  Y -160629
X 1185311  Y -115748
X 1185311  Y -94862
X 1193700  Y -87401
X 1160629  Y -22834
X 1168408  Y 202121
X 1143408  Y 202121
X 1193311  Y 202174
X 1218166  Y 199487
X 1235843  Y 181809
X 1247450  Y 159666
X 1221886  Y -154922
X 1217322  Y -181102

Drill: .02753  Tool: 3  Feed: 197  Speed: 550
X 602687  Y -71250
X 594814  Y -71250
X 586939  Y -71250
X 610561  Y -71250

Drill: .035  Tool: 4  Feed: 197  Speed: 550
X 17913  Y -14000
X 24921  Y -10000
X 17913  Y -6000
X 24921  Y -2000
X 17913  Y 2000
X 24921  Y 6000
X 17913  Y 10000
X 24921  Y 14000

Drill: .04  Tool: 5  Feed: 139  Speed: 550
X 29606  Y -158464
X 29606  Y -140748
X 15826  Y -117125
X 15826  Y -99409
X 37795  Y -27559
X 37795  Y -17716
X 37795  Y 17716
X 37795  Y 27559
X 294291  Y 66299
X 294291  Y 56299
X 294291  Y 46299
X 302086  Y -191929
X 292086  Y -191929
X 312086  Y -191929
X 322086  Y -191929
X 310039  Y 36220
X 325787  Y 36220
X 310039  Y 46220
X 325787  Y 46220
X 325787  Y 56220
X 310039  Y 56220
X 325787  Y 66220
X 310039  Y 66220
X 325787  Y 76220
X 310039  Y 76220
X 310039  Y 86220
X 325787  Y 86220
X 478200  Y -117600
X 462600  Y -154200
X 450600  Y -154200
X 474015  Y -154330
X 489000  Y -117600
X 580984  Y -111299
X 580984  Y -101299
X 534645  Y -85039
X 544645  Y -85039
X 572283  Y 27681
X 572283  Y 37681
X 600984  Y -101299
X 590984  Y -101299
X 630984  Y -101299
X 620984  Y -101299
X 610984  Y -101299
X 590984  Y -111299
X 620984  Y -111299
X 600984  Y -111299
X 610984  Y -111299
X 630984  Y -111299
X 650984  Y -111299
X 640984  Y -111299
X 670984  Y -111299
X 660984  Y -111299
X 650984  Y -101299
X 670984  Y -101299
X 640984  Y -101299
X 660984  Y -101299
X 722716  Y -101299
X 752716  Y -101299
X 742716  Y -101299
X 732716  Y -101299
X 772716  Y -101299
X 762716  Y -101299
X 732716  Y -111299
X 722716  Y -111299
X 772716  Y -111299
X 742716  Y -111299
X 762716  Y -111299
X 752716  Y -111299
X 802716  Y -111299
X 792716  Y -111299
X 782716  Y -111299
X 812716  Y -111299
X 802716  Y -101299
X 782716  Y -101299
X 792716  Y -101299
X 812716  Y -101299
X 1003740  Y 140905
X 1003740  Y 130905
X 1003740  Y 3110
X 1003740  Y -6889
X 1003740  Y -134685
X 1003740  Y -144685
X 1023740  Y -144685
X 1013740  Y -144685
X 1053740  Y -144685
X 1033740  Y -144685
X 1043740  Y -144685
X 1013740  Y -134685
X 1053740  Y -134685
X 1033740  Y -134685
X 1043740  Y -134685
X 1023740  Y -134685
X 1023740  Y -6889
X 1013740  Y -6889
X 1053740  Y -6889
X 1033740  Y -6889
X 1043740  Y -6889
X 1013740  Y 3110
X 1023740  Y 3110
X 1053740  Y 3110
X 1033740  Y 3110
X 1043740  Y 3110
X 1013740  Y 130905
X 1023740  Y 130905
X 1033740  Y 130905
X 1053740  Y 130905
X 1043740  Y 130905
X 1043740  Y 140905
X 1013740  Y 140905
X 1053740  Y 140905
X 1023740  Y 140905
X 1033740  Y 140905
X 1063740  Y 140905
X 1073740  Y 140905
X 1083740  Y 140905
X 1093740  Y 140905
X 1103740  Y 140905
X 1063740  Y 130905
X 1083740  Y 130905
X 1073740  Y 130905
X 1093740  Y 130905
X 1103740  Y 130905
X 1063740  Y 3110
X 1073740  Y 3110
X 1103740  Y 3110
X 1083740  Y 3110
X 1093740  Y 3110
X 1063740  Y -6889
X 1103740  Y -6889
X 1083740  Y -6889
X 1093740  Y -6889
X 1073740  Y -6889
X 1063740  Y -134685
X 1073740  Y -134685
X 1093740  Y -134685
X 1103740  Y -134685
X 1083740  Y -134685
X 1063740  Y -144685
X 1073740  Y -144685
X 1103740  Y -144685
X 1093740  Y -144685
X 1083740  Y -144685
X 1123779  Y -191929
X 1133779  Y -191929
X 1143779  Y -191929
X 1153779  Y -191929
X 1113740  Y -144685
X 1123740  Y -144685
X 1153740  Y -144685
X 1133740  Y -144685
X 1143740  Y -144685
X 1113740  Y -134685
X 1153740  Y -134685
X 1133740  Y -134685
X 1123740  Y -134685
X 1143740  Y -134685
X 1123740  Y -6889
X 1113740  Y -6889
X 1153740  Y -6889
X 1133740  Y -6889
X 1143740  Y -6889
X 1153740  Y 3110
X 1123740  Y 3110
X 1133740  Y 3110
X 1143740  Y 3110
X 1113740  Y 3110
X 1153740  Y 130905
X 1133740  Y 130905
X 1113740  Y 130905
X 1123740  Y 130905
X 1143740  Y 130905
X 1133740  Y 140905
X 1143740  Y 140905
X 1153740  Y 140905
X 1123740  Y 140905
X 1113740  Y 140905

Drill: .043  Tool: 6  Feed: 139  Speed: 550
X 18503  Y -71929
X 28503  Y -71929
X 28503  Y -61929
X 18503  Y -61929

Drill: .049  Tool: 7  Feed: 139  Speed: 550
X 312086  Y -200429
X 1143779  Y -200429

Drill: .052  Tool: 8  Feed: 107  Speed: 550
X 39448  Y -163385
X 39448  Y -135826
X 25669  Y -122047
X 25669  Y -94488

Drill: .07087  Tool: 9  Feed: 81  Speed: 550
X 23622  Y -22598
X 23622  Y 22598

